"bird_sp_list","bodymass","specialisation","forstrat","dispersal"
"Amazona aestiva",451,0.111111111111111,3,26.5
"Amazona amazonica",370,0,2.97,28.2
"Amazona farinosa",626,0.181286549707602,3.4,28.6
"Amazona rhodocorytha",474.3,0,3.2,29.9
"Antilophia galeata",21.5,0.102564102564103,2.5,12.3
"Aramides cajanea",397,0.236111111111111,0.5,11.6
"Aramides saracura",540,0.102564102564103,0.7,11.7
"Aratinga aurea",84.6,0.285714285714286,1.3,46.4
"Aratinga leucophthalma",158,0.285714285714286,2.6,41.5
"Aratinga solstitialis",119.6,0,3,41.3
"Arremon flavirostris",26.1,0.215686274509804,1.2,6.9
"Arremon taciturnus",24.8,0.215686274509804,1.5,10.9
"Attila phoenicurus",32.3,0.0946502057613169,2.97,20.6
"Attila rufus",42.6,0.141414141414141,2.5,13.4
"Baryphthengus ruficapillus",141.7,0.153439153439153,1.8,16
"Basileuterus culicivorus",10.5,0.0522875816993464,2.3,15.4
"Brotogeris chiriri",61.6,0.215686274509804,2.3,44.8
"Brotogeris tirica",63,0.285714285714286,3.4,35.1
"Cacicus chrysopterus",36.2,0.111111111111111,3.2,17.8
"Cacicus haemorrhous",83.7,0.141414141414141,3,25
"Campephilus melanoleucos",256,0.0522875816993464,3,21.9
"Camptostoma obsoletum",8.1,0.0804597701149425,3.2,16.5
"Campylorhynchus turdinus",32.6,0.0522875816993464,3.5,12.9
"Capsiempis flaveola",7.7,0.024390243902439,3,12.9
"Cariama cristata",1400,0.166666666666667,1.4,10.7
"Carpornis cucullata",74.2,0.0522875816993464,2.5,19.8
"Carpornis melanocephala",64.2,0.024390243902439,2.5,21.1
"Caryothraustes canadensis",34.5,0.0522875816993464,3.4,17.8
"Celeus flavescens",139,0.0804597701149425,2.3,16.2
"Chamaeza campanisona",90.6,0.0804597701149425,1.2,14.2
"Chiroxiphia caudata",25.6,0.111111111111111,2.5,17.6
"Chlorophanes spiza",19,0.153439153439153,3.5,24.7
"Chlorophonia cyanea",14,0.024390243902439,3.8,26.7
"Cichlopsis leucogenys",53.8,0.0804597701149425,2.5,27.9
"Cissopis leverianus",76,0.0804597701149425,2.5,13.1
"Claravis godefrida",43.5,0.0804597701149425,1,34.7
"Colaptes melanochloros",127.3,0.0572390572390572,2.5,15.2
"Conirostrum speciosum",8.8,0.102564102564103,1.6,22.1
"Coryphospingus cucullatus",14.3,0.111111111111111,2.4,11.2
"Crax fasciolata",2600,0.0572390572390572,1.2,8.9
"Crotophaga ani",110.1,0.316239316239316,1.9,24.8
"Crypturellus undulatus",564.4,0,1,20.3
"Cyanerpes cyaneus",14,0.197530864197531,3.2,26
"Cyanocompsa brissonii",27.5,0.0946502057613169,1.5,14.8
"Cyanocorax chrysops",166,0.0522875816993464,2.8,10.1
"Cyanocorax cristatellus",178,0.215686274509804,1.6,20.4
"Cyanoloxia glaucocaerulea",18.2,0.259259259259259,1.5,16.6
"Dacnis cayana",13,0.153439153439153,3.8,24.7
"Dendrocygna bicolor",756.4,0.141414141414141,0,29.7
"Dryocopus lineatus",183.2,0.0572390572390572,2.4,22
"Dysithamnus mentalis",14.9,0.024390243902439,2.8,11.1
"Dysithamnus stictothorax",15.5,0.024390243902439,2.7,8.1
"Dysithamnus xanthopterus",16,0.024390243902439,3,12.1
"Elaenia albiceps",15.5,0.111111111111111,3,20.3
"Elaenia chiriquensis",15.4,0.111111111111111,2.6,20.8
"Elaenia cristata",18.2,0.111111111111111,3,15.1
"Elaenia flavogaster",24.8,0.111111111111111,3.3,16.4
"Elaenia mesoleuca",17.6,0.111111111111111,3.2,22.1
"Elaenia obscura",23.9,0.111111111111111,4,15.4
"Elaenia parvirostris",13.8,0.0804597701149425,2.97,19.9
"Elaenia spectabilis",27.3,0.111111111111111,4,18.9
"Emberizoides herbicola",27.6,0.259259259259259,1.3,10.8
"Empidonomus varius",27.1,0.102564102564103,2.7,24.2
"Euphonia chlorotica",11,0,3.9,24.2
"Euphonia cyanocephala",14,0,3.2,28.9
"Euphonia pectoralis",14.4,0.0946502057613169,3.7,21.8
"Euphonia violacea",15,0,3,27.6
"Forpus xanthopterygius",31,0.111111111111111,1,25.9
"Geotrygon montana",133.9,0.181286549707602,1,27.1
"Geotrygon violacea",95.2,0.153439153439153,1,33.3
"Gnorimopsar chopi",65.9,0.259259259259259,1.7,21.1
"Habia rubica",32.5,0.0522875816993464,2.6,17.6
"Hemithraupis flavicollis",12.8,0.102564102564103,3.8,21
"Hemithraupis guira",12,0.0572390572390572,3.9,21.4
"Hemithraupis ruficapilla",11,0.0522875816993464,3.9,20.3
"Herpsilochmus rufimarginatus",10.6,0.024390243902439,3,7.3
"Hylophilus amaurocephalus",11.7,0.141414141414141,3.1,12.9
"Hylophilus poicilotis",10.4,0.0804597701149425,3,12.6
"Ilicura militaris",12.7,0.111111111111111,2.5,22.6
"Knipolegus lophotes",31.8,0.024390243902439,1.5,26.4
"Laniisoma elegans",47.4,0.111111111111111,1.5,23.8
"Legatus leucophaius",22.2,0.0804597701149425,3.8,25.5
"Leptopogon amaurocephalus",11.7,0.0522875816993464,2.5,18.7
"Leptotila rufaxilla",157,0.0572390572390572,1,24.5
"Leptotila verreauxi",146.9,0.141414141414141,1,22.1
"Lipaugus lanioides",94.8,0.0522875816993464,2.5,17
"Lipaugus vociferans",75.4,0.111111111111111,2.5,16.9
"Manacus manacus",16.7,0.024390243902439,2.2,15.9
"Megarynchus pitangua",69.9,0.102564102564103,3.3,23.3
"Melanerpes candidus",108,0.141414141414141,2.5,30.8
"Melanerpes flavifrons",57.8,0.215686274509804,2.5,26.6
"Milvago chimachima",315.2,0.506172839506173,1,29.9
"Mionectes rufiventris",13.3,0.111111111111111,2.9,13.3
"Molothrus oryzivorus",181.9,0.215686274509804,2.5,31.9
"Myiarchus ferox",27.5,0.111111111111111,2.2,14.2
"Myiarchus swainsoni",25.1,0.0946502057613169,2,17
"Myiarchus tuberculifer",17.7,0.0572390572390572,2.97,18.8
"Myiarchus tyrannulus",35.5,0.0946502057613169,1.8,16.6
"Myiodynastes maculatus",43.2,0.215686274509804,3,21
"Myiopagis caniceps",10.5,0.0522875816993464,4,18.5
"Myiopagis viridicata",11.5,0.141414141414141,3.5,19
"Myiophobus fasciatus",9.9,0.0522875816993464,2,18.4
"Myiozetetes cayanensis",25.9,0.0804597701149425,1.7,15.4
"Myiozetetes similis",28,0.215686274509804,2.6,16.4
"Neopelma aurifrons",14,0.0522875816993464,2.4,21.3
"Neopelma chrysolophum",14.2,0.111111111111111,2.5,17.4
"Odontophorus capueira",425.4,0.0522875816993464,1,10.5
"Orthogonys chloricterus",39,0.102564102564103,3,23.8
"Oxyruncus cristatus",42,0.0522875816993464,3.4,26.3
"Pachyramphus castaneus",19.5,0.024390243902439,3,18.3
"Pachyramphus marginatus",18.4,0.111111111111111,3,21.8
"Pachyramphus polychopterus",20.8,0.111111111111111,3,21.8
"Parula pitiayumi",6.8,0.0946502057613169,4,20.1
"Patagioenas cayennensis",229,0.0804597701149425,3,35.1
"Patagioenas maculosa",347,0.0946502057613169,1.2,38.8
"Patagioenas picazuro",279,0.285714285714286,2.2,37.6
"Patagioenas plumbea",178.8,0.111111111111111,3.7,34.9
"Patagioenas speciosa",258.5,0,2.4,36.5
"Penelope obscura",1770,0.0522875816993464,2.2,4.9
"Penelope superciliaris",895,0.024390243902439,2.64,13.5
"Phibalura flavirostris",46.5,0.0522875816993464,3,32.8
"Phyllomyias burmeisteri",11.1,0.111111111111111,3,23.5
"Phyllomyias fasciatus",10.3,0.0522875816993464,4,17.5
"Phyllomyias griseocapilla",8,0.102564102564103,2.3,14.2
"Pionopsitta pileata",119,0.215686274509804,3.4,35.8
"Pionus maximiliani",293,0.0946502057613169,2.9,35.2
"Pionus menstruus",251,0.215686274509804,2.9,29.1
"Pipile jacutinga",1241,0.102564102564103,3,19.5
"Pipra pipra",11.1,0.102564102564103,2.5,17.3
"Pipra rubrocapilla",12,0.0522875816993464,2.5,19.7
"Pipraeidea melanonota",21,0.181286549707602,3.7,26.5
"Piprites chloris",16,0.024390243902439,3.8,25.3
"Piranga flava",37.7,0.0522875816993464,3.5,23.5
"Pitangus sulphuratus",62.9,0.285714285714286,1.6,18.1
"Procnias nudicollis",172,0,2.5,24
"Psarocolius decumanus",206.3,0.197530864197531,3.2,24.8
"Pseudoleistes guirahuro",86.4,0.259259259259259,1,23.2
"Pteroglossus aracari",250.2,0.0522875816993464,3.7,15.6
"Pteroglossus bailloni",146,0.024390243902439,3.4,14.5
"Pyroderus scutatus",357,0.102564102564103,2.5,18.2
"Pyrrhura cruentata",75.9,0.111111111111111,2.9,40.2
"Pyrrhura frontalis",72,0.285714285714286,2.9,40.3
"Pyrrhura leucotis",75.9,0.285714285714286,2.97,41.4
"Ramphastos dicolorus",331,0.0572390572390572,3.4,14
"Ramphastos toco",618,0.0946502057613169,3.1,22.4
"Ramphastos vitellinus",360.4,0.153439153439153,3,13
"Ramphocelus bresilius",32.9,0.111111111111111,2.3,13.7
"Ramphocelus carbo",25.9,0.111111111111111,2.6,15.8
"Rhytipterna simplex",31.8,0.0522875816993464,2.5,16.8
"Saltator fuliginosus",44,0.130434782608696,3.4,14
"Saltator maximus",47.6,0.130434782608696,2.4,16.9
"Saltator similis",43.3,0.130434782608696,2.3,15.1
"Schiffornis turdina",31.7,0.111111111111111,2,15.9
"Schiffornis virescens",25.6,0.111111111111111,2,15.7
"Schistochlamys ruficapillus",31.2,0.111111111111111,2.3,16.7
"Selenidera maculirostris",164,0.0522875816993464,3.2,14.8
"Sirystes sibilator",32.3,0.0522875816993464,4,19.8
"Stephanophorus diadematus",35.4,0.181286549707602,2.7,20.8
"Tachyphonus coronatus",29.3,0.141414141414141,3.2,17.3
"Tachyphonus cristatus",18.8,0.197530864197531,3.6,19.2
