"","Latitude","Longitude","BSR","1kmForestCover","5kmForestCover","10kmForestCover","MeanAge","PropAge","MeanTemperature","TemperatureSeasonality","AnnualPrecipitation","PrecipitationSeasonality","Elevation","Slope"
"100",-23.729166,-47.115833,"Serra do Mar coastal forests",29.9989081566617,42.9960628499474,41.4579804174423,46.8918367346939,0.07143,16.9958343505859,242.547622680664,1550,55.6944122314453,914,0
"101",-23.715833,-47.072777,"Serra do Mar coastal forests",35.4715829162198,40.6053251474579,42.4114136804403,45.2508917954816,0.11534,17.0625,241.502151489258,1539,55.9867553710938,914,0
"102",-23.735833,-47.058333,"Serra do Mar coastal forests",26.4090179714308,40.3980547063623,53.7364357938077,47.9400921658986,0.05069,16.9624996185303,242.141265869141,1571,55.5659103393555,914,0
"103",-23.588888,-47.268888,"Serra do Mar coastal forests",41.9040880501433,27.6787343928257,32.8694534201604,49.6698564593301,0.0082,17.4125003814697,239.925415039062,1399,58.82275390625,892,0.72
"104",-23.582222,-47.244444,"Serra do Mar coastal forests",51.8899293600557,31.0765627074944,33.4776101693357,48.9290882778582,0.0275,17.3041667938232,239.026992797852,1411,59.0405769348145,914,0.05
"105",-23.611666,-47.315555,"Serra do Mar coastal forests",88.5097653518612,27.6870060058636,29.8444980955103,49.786693082384,0.00512,17.3791675567627,240.335556030273,1405,57.8231048583984,891,0.59
"106",-23.6325,-47.291666,"Serra do Mar coastal forests",51.1270803079174,36.6302055272282,29.7981106704757,48.441483198146,0.03708,17.4291667938232,240.826782226562,1406,57.8187942504883,914,0.43
"107",-23.61,-47.272777,"Serra do Mar coastal forests",25.6797763653386,33.2832805486052,31.6718490704859,49.1076923076923,0.02198,17.470832824707,241.975372314453,1401,58.115177154541,881,0.05
"108",-23.601388,-47.336388,"Serra do Mar coastal forests",16.5560642420683,20.9783034684183,29.3372767396297,49.786693082384,0.00512,17.4291667938232,238.713027954102,1392,57.7033843994141,915,0.48
"109",-23.609722,-47.385277,"Serra do Mar coastal forests",16.2083296848203,22.4780811698796,27.5916467202184,47.6804407713499,0.0551,17.5625,239.061828613281,1356,57.7616767883301,908,1.52
"110",-23.618055,-47.380277,"Serra do Mar coastal forests",28.0057821995136,21.8814516994731,28.3688320816039,49.13125,0.01875,17.4166660308838,239.68098449707,1378,57.8760757446289,921,0.17
"111",-23.833611,-47.446388,"Serra do Mar coastal forests",62.3993211534878,48.5084508892878,46.1152837169974,47.1386643981285,0.06891,16.529167175293,241.994140625,1683,51.3423004150391,1008,0.99
"112",-23.919166,-47.456666,"Serra do Mar coastal forests",75.4743798102836,73.1041574523069,71.357909283795,48.2912697393567,0.04027,16.8958339691162,241.655822753906,1819,48.1955871582031,921,0.51
"113",-23.880277,-47.439166,"Serra do Mar coastal forests",68.7373111224605,62.2014180082033,64.623033784764,48.2912697393567,0.04027,16.845832824707,241.439437866211,1750,49.540641784668,915,0.57
"114",-23.915,-47.481111,"Serra do Mar coastal forests",74.3695684000694,60.2331453801871,65.3520481660598,48.2912697393567,0.04027,17.0874996185303,243.292984008789,1793,48.2420120239258,910,0.28
"115",-23.906944,-47.473888,"Serra do Mar coastal forests",48.0899462168917,58.7480088024871,63.9403310972289,48.5759803921569,0.03431,17.2916660308838,246.399826049805,1761,48.483470916748,912,0.27
"116",-23.9,-47.473611,"Serra do Mar coastal forests",48.2278194001229,54.3597350359761,61.2594044959192,48.2912697393567,0.04027,17.2916660308838,246.399826049805,1761,48.483470916748,911,0.19
"117",-23.843888,-47.448888,"Serra do Mar coastal forests",43.7385063673242,49.7382322123624,48.824692713232,47.7330960854093,0.05338,16.591667175293,243.411651611328,1700,51.0150947570801,990,1.23
"118",-23.901666,-47.490277,"Serra do Mar coastal forests",33.1962423802741,49.1162354315512,58.3260249432321,49.64453125,0.00781,17.1375007629395,244.169509887695,1765,48.3883323669434,905,0.16
"123",-23.833333,-47.333333,"Serra do Mar coastal forests",79.7924156969069,72.3398721779119,72.2344085445527,48.2912697393567,0.04027,16.5874996185303,240.767013549805,1692,51.5498886108398,1002,3.45
"124",-23.833333,-47.333333,"Serra do Mar coastal forests",79.7924156969069,72.3398721779119,72.2344085445527,48.2912697393567,0.04027,16.5874996185303,240.767013549805,1692,51.5498886108398,1002,3.45
"125",-23.833333,-47.333333,"Serra do Mar coastal forests",79.7924156969069,72.3398721779119,72.2344085445527,48.2912697393567,0.04027,16.5874996185303,240.767013549805,1692,51.5498886108398,1002,3.45
"126",-23.833333,-47.333333,"Serra do Mar coastal forests",79.7924156969069,72.3398721779119,72.2344085445527,48.2912697393567,0.04027,16.5874996185303,240.767013549805,1692,51.5498886108398,1002,3.45
"1311",-19.966666,-40.583333,"Bahia coastal forests",65.9147225327579,67.0000055009491,71.4954892687328,45.9814684701054,0.09761,19.0750007629395,200.425674438477,1336,49.2735977172852,715,2.68
"1312",-19.966666,-40.583333,"Bahia coastal forests",65.9147225327579,67.0000055009491,71.4954892687328,45.9814684701054,0.09761,19.0750007629395,200.425674438477,1336,49.2735977172852,715,2.68
"1313",-19.933333,-40.583333,"Bahia coastal forests",62.6128244234926,70.8204205790314,68.0723296800474,45.9814684701054,0.09761,19.1124992370605,199.978668212891,1325,50.3396110534668,724,1.24
"1314",-19.916666,-40.583333,"Bahia coastal forests",66.7043893522436,72.2850742209454,64.8360858082115,45.9814684701054,0.09761,18.9583339691162,199.212463378906,1338,49.7799415588379,695,0.87
"1315",-19.033333,-39.933333,"Bahia coastal forests",93.0376121067191,48.6024754324792,43.624512451191,35.9012406137773,0.31581,23.6833324432373,188.58723449707,1217,46.1864471435547,32,0.12
"1316",-19.916666,-40.616666,"Bahia coastal forests",86.7192730500817,57.4567506252408,56.1317736835103,43.5742595130178,0.15539,19.2708339691162,200.277755737305,1345,48.816089630127,718,2.72
"1317",-19.95,-40.533333,"Bahia coastal forests",76.1546843654033,77.9736766838235,70.8444070071003,45.9814684701054,0.09761,19.7999992370605,199.214370727539,1324,48.9730033874512,637,0.49
"1318",-19.9,-40.566666,"Bahia coastal forests",86.1709637486658,82.3925692788183,65.1796144744831,45.9814684701054,0.09761,19.0833339691162,198.417953491211,1342,49.2419395446777,709,1.06
"144",-23.45,-51.25,"Alto Parana Atlantic forest",95.6018675634964,40.7172459117542,22.1798868659704,45.5737709823165,0.0982,20.2374992370605,263.646850585938,1540,36.2006034851074,611,0.3
"145",-23.470555,-51.239722,"Alto Parana Atlantic forest",47.851747154688,38.5715441214369,21.2035514626897,45.5737709823165,0.0982,20.2625007629395,264.395751953125,1540,36.1976013183594,598,0.21
"146",-23.477222,-51.255277,"Alto Parana Atlantic forest",28.9860531997866,35.1689814884454,23.1802677900196,45.5737709823165,0.0982,20.0083332061768,264.968536376953,1549,35.2652816772461,607,0.24
"147",-23.487777,-51.255277,"Alto Parana Atlantic forest",21.1674978148509,28.7888481604299,23.637430085711,44.1380952380952,0.13333,19.9125003814697,265.08251953125,1554,34.9303359985352,610,0.11
"1703",-23.67444444,-46.96083333,"Serra do Mar coastal forests",100,80.2344719587359,59.2256692046209,48.2224131075968,0.04241,17.1666660308838,240.192459106445,1520,56.9120903015137,894,0.1
"1719",-23.69388889,-46.95555556,"Serra do Mar coastal forests",100,85.7387916600455,64.336537299819,48.2224131075968,0.04241,17.0166664123535,237.786514282227,1552,56.0482788085938,911,0.21
"1721",-23.715,-46.94555556,"Serra do Mar coastal forests",99.8027154447958,81.0970167918987,71.2775731861284,48.2224131075968,0.04241,16.9583339691162,238.973510742188,1572,55.7179985046387,915,0.09
"1722",-23.67777778,-46.99333333,"Serra do Mar coastal forests",87.8916343186965,63.2393666918616,54.7437373199257,48.2224131075968,0.04241,16.9291667938232,239.492446899414,1539,56.7839393615723,914,0.07
"1723",-23.702222,-47.081111,"Serra do Mar coastal forests",58.4516686421505,37.5052066117562,36.7150059703546,47.4419435857805,0.06163,17.033332824707,242.668243408203,1533,56.3230972290039,914,0
"1724",-23.712777,-47.094166,"Serra do Mar coastal forests",52.5130670517811,38.1523201836015,36.7048801990618,46.5272727272727,0.08582,17.095832824707,243.324111938477,1534,56.3311233520508,914,0
"1725",-23.7375,-47.072777,"Serra do Mar coastal forests",69.65027315992,43.2745855052237,50.7030402519379,43.3632897603486,0.15668,16.7000007629395,242.945938110352,1591,55.379997253418,914,0
"1726",-23.725555,-47.063055,"Serra do Mar coastal forests",36.7731481240488,42.5248953880065,48.3759646928706,47.2937399678973,0.06421,16.8583335876465,240.943542480469,1576,55.5518035888672,914,0
"1727",-23.689444,-47.090833,"Serra do Mar coastal forests",33.3996796809716,32.3014093062028,34.8806650376994,49.3539518900344,0.01375,17.1208324432373,244.209838867188,1513,57.4043502807617,914,0
"1728",-23.69416667,-47.06722222,"Serra do Mar coastal forests",44.3277167195691,36.4816537055649,38.404080461706,47.420955165692,0.06306,17.1041660308838,242.106826782227,1521,56.8022384643555,914,0
"1729",-23.729166,-47.115833,"Serra do Mar coastal forests",29.7493057265598,42.2661451890699,40.8747189853165,46.5896907216495,0.08041,16.9958343505859,242.547622680664,1550,55.6944122314453,914,0
"1730",-23.71527778,-47.0875,"Serra do Mar coastal forests",53.8642529451763,38.4452182488202,38.1814241367035,46.6899509803922,0.08456,17.0083332061768,242.551147460938,1541,56.2093048095703,914,0
"1731",-23.711388,-47.0975,"Serra do Mar coastal forests",50.6526689927798,36.233757184794,35.7218053183687,46.6899509803922,0.08456,17.095832824707,243.324111938477,1534,56.3311233520508,914,0
"1732",-23.715833,-47.072777,"Serra do Mar coastal forests",34.2243756104481,40.1217479160462,41.9196724240289,45.5347985347985,0.11355,17.0625,241.502151489258,1539,55.9867553710938,914,0
"1733",-23.735833,-47.058333,"Serra do Mar coastal forests",25.9493804654252,40.0325706196846,53.3257532414109,47.8211009174312,0.05505,16.9624996185303,242.141265869141,1571,55.5659103393555,914,0
"1734",-23.73805556,-47.0625,"Serra do Mar coastal forests",37.450692687115,39.9907111476296,53.0453963752115,43.5730480892302,0.15542,16.7749996185303,242.669815063477,1590,55.1747589111328,914,0
