"","Latitude","Longitude","BSR","5kmForestCover","PropAge","MeanTemperature","TemperatureSeasonality","AnnualPrecipitation","PrecipitationSeasonality","Elevation","Slope"
"100",-23.729166,-47.115833,"Serra do Mar coastal forests",42.9960628499474,0.07143,16.9958343505859,242.547622680664,1550,55.6944122314453,914,0
"101",-23.715833,-47.072777,"Serra do Mar coastal forests",40.6053251474579,0.11534,17.0625,241.502151489258,1539,55.9867553710938,914,0
"102",-23.735833,-47.058333,"Serra do Mar coastal forests",40.3980547063623,0.05069,16.9624996185303,242.141265869141,1571,55.5659103393555,914,0
"103",-23.588888,-47.268888,"Serra do Mar coastal forests",27.6787343928257,0.0082,17.4125003814697,239.925415039062,1399,58.82275390625,892,0.72
"104",-23.582222,-47.244444,"Serra do Mar coastal forests",31.0765627074944,0.0275,17.3041667938232,239.026992797852,1411,59.0405769348145,914,0.05
"105",-23.611666,-47.315555,"Serra do Mar coastal forests",27.6870060058636,0.00512,17.3791675567627,240.335556030273,1405,57.8231048583984,891,0.59
"106",-23.6325,-47.291666,"Serra do Mar coastal forests",36.6302055272282,0.03708,17.4291667938232,240.826782226562,1406,57.8187942504883,914,0.43
"107",-23.61,-47.272777,"Serra do Mar coastal forests",33.2832805486052,0.02198,17.470832824707,241.975372314453,1401,58.115177154541,881,0.05
"108",-23.601388,-47.336388,"Serra do Mar coastal forests",20.9783034684183,0.00512,17.4291667938232,238.713027954102,1392,57.7033843994141,915,0.48
"109",-23.609722,-47.385277,"Serra do Mar coastal forests",22.4780811698796,0.0551,17.5625,239.061828613281,1356,57.7616767883301,908,1.52
"110",-23.618055,-47.380277,"Serra do Mar coastal forests",21.8814516994731,0.01875,17.4166660308838,239.68098449707,1378,57.8760757446289,921,0.17
"111",-23.833611,-47.446388,"Serra do Mar coastal forests",48.5084508892878,0.06891,16.529167175293,241.994140625,1683,51.3423004150391,1008,0.99
"112",-23.919166,-47.456666,"Serra do Mar coastal forests",73.1041574523069,0.04027,16.8958339691162,241.655822753906,1819,48.1955871582031,921,0.51
"113",-23.880277,-47.439166,"Serra do Mar coastal forests",62.2014180082033,0.04027,16.845832824707,241.439437866211,1750,49.540641784668,915,0.57
"114",-23.915,-47.481111,"Serra do Mar coastal forests",60.2331453801871,0.04027,17.0874996185303,243.292984008789,1793,48.2420120239258,910,0.28
"115",-23.906944,-47.473888,"Serra do Mar coastal forests",58.7480088024871,0.03431,17.2916660308838,246.399826049805,1761,48.483470916748,912,0.27
"116",-23.9,-47.473611,"Serra do Mar coastal forests",54.3597350359761,0.04027,17.2916660308838,246.399826049805,1761,48.483470916748,911,0.19
"117",-23.843888,-47.448888,"Serra do Mar coastal forests",49.7382322123624,0.05338,16.591667175293,243.411651611328,1700,51.0150947570801,990,1.23
"118",-23.901666,-47.490277,"Serra do Mar coastal forests",49.1162354315512,0.00781,17.1375007629395,244.169509887695,1765,48.3883323669434,905,0.16
"123",-23.833333,-47.333333,"Serra do Mar coastal forests",72.3398721779119,0.04027,16.5874996185303,240.767013549805,1692,51.5498886108398,1002,3.45
"124",-23.833333,-47.333333,"Serra do Mar coastal forests",72.3398721779119,0.04027,16.5874996185303,240.767013549805,1692,51.5498886108398,1002,3.45
"125",-23.833333,-47.333333,"Serra do Mar coastal forests",72.3398721779119,0.04027,16.5874996185303,240.767013549805,1692,51.5498886108398,1002,3.45
"126",-23.833333,-47.333333,"Serra do Mar coastal forests",72.3398721779119,0.04027,16.5874996185303,240.767013549805,1692,51.5498886108398,1002,3.45
"1311",-19.966666,-40.583333,"Bahia coastal forests",67.0000055009491,0.09761,19.0750007629395,200.425674438477,1336,49.2735977172852,715,2.68
"1312",-19.966666,-40.583333,"Bahia coastal forests",67.0000055009491,0.09761,19.0750007629395,200.425674438477,1336,49.2735977172852,715,2.68
"1313",-19.933333,-40.583333,"Bahia coastal forests",70.8204205790314,0.09761,19.1124992370605,199.978668212891,1325,50.3396110534668,724,1.24
"1314",-19.916666,-40.583333,"Bahia coastal forests",72.2850742209454,0.09761,18.9583339691162,199.212463378906,1338,49.7799415588379,695,0.87
"1315",-19.033333,-39.933333,"Bahia coastal forests",48.6024754324792,0.31581,23.6833324432373,188.58723449707,1217,46.1864471435547,32,0.12
"1316",-19.916666,-40.616666,"Bahia coastal forests",57.4567506252408,0.15539,19.2708339691162,200.277755737305,1345,48.816089630127,718,2.72
"1317",-19.95,-40.533333,"Bahia coastal forests",77.9736766838235,0.09761,19.7999992370605,199.214370727539,1324,48.9730033874512,637,0.49
"1318",-19.9,-40.566666,"Bahia coastal forests",82.3925692788183,0.09761,19.0833339691162,198.417953491211,1342,49.2419395446777,709,1.06
"144",-23.45,-51.25,"Alto Parana Atlantic forests",40.7172459117542,0.0982,20.2374992370605,263.646850585938,1540,36.2006034851074,611,0.3
"145",-23.470555,-51.239722,"Alto Parana Atlantic forests",38.5715441214369,0.0982,20.2625007629395,264.395751953125,1540,36.1976013183594,598,0.21
"146",-23.477222,-51.255277,"Alto Parana Atlantic forests",35.1689814884454,0.0982,20.0083332061768,264.968536376953,1549,35.2652816772461,607,0.24
"147",-23.487777,-51.255277,"Alto Parana Atlantic forests",28.7888481604299,0.13333,19.9125003814697,265.08251953125,1554,34.9303359985352,610,0.11
