"","Latitude","Longitude","BSR","5kmForestCover","PropAge","MeanTemperature","TemperatureSeasonality","AnnualPrecipitation","PrecipitationSeasonality","Elevation","Slope"
"2",-27.0275,-52.166111,"Araucaria moist forests",33.6372283718002,0.074,16.9249992370605,325.15380859375,2033,13.6896772384644,918,0.41
"3",-27.038889,-52.161944,"Araucaria moist forests",35.4624132142978,0.198,16.9958324432373,326.451019287109,2033,13.6782388687134,853,3.2
"4",-27.086111,-52.175,"Araucaria moist forests",40.156961226079,0.16,17.841667175293,336.882995605469,1990,13.3684377670288,630,2.36
"5",-26.46586,-52.57602,"Araucaria moist forests",20.045122217465,0.102,17.4916667938232,335.422607421875,2056,13.8279733657837,842,1.06
"6",-27.741944,-48.806944,"Serra do Mar coastal forests",84.7585742555777,0.056,17.9791660308838,305.617523193359,1636,32.3328590393066,375,4
"7",-27.436389,-48.858333,"Serra do Mar coastal forests",86.7198856667866,0.056,16.3916664123535,301.283874511719,1727,27.1824321746826,585,4.6
"8",-27.104722,-48.8825,"Serra do Mar coastal forests",55.94378908938,0.017,19.6124992370605,327.942108154297,1658,26.7212543487549,153,0.05
"10",-28.007222,-49.374722,"Araucaria moist forests",76.768235371025,0.057,14.0541667938232,292.026306152344,1663,21.3628826141357,1474,5.53
"15",-19.905556,-40.562222,"Bahia coastal forests",84.7050817479104,0.142,19.0833339691162,198.417953491211,1342,49.2419395446777,702,0.76
"16",-27.293333,-52.110556,"Alto Parana Atlantic forest",35.5942620601984,0.323,18.5583343505859,351.469848632812,1873,13.7302274703979,416,4.53
"20",-21.95948,-47.946908,"Cerrado",7.57766705432348,0.061,19.75,219.586395263672,1401,69.3731689453125,777,0.49
"21",-22.204744,-45.738853,"Alto Parana Atlantic forest",25.2383169763581,0.315,18.2625007629395,259.47607421875,1606,71.5121459960938,916,0.15
"22",-16.383254,-39.173484,"Bahia coastal forests",53.82929358357,0.203,23.8624992370605,153.787414550781,1546,18.4087371826172,84,0.18
"24",-25.2458,-50.510411,"Araucaria moist forests",56.3462376310206,0.037,17.1958332061768,300.631591796875,1457,24.8541660308838,907,0.11
"25",-20.800407,-42.858651,"Bahia interior forests",22.6974620191347,0.091,19.158332824707,238.497497558594,1294,77.1452713012695,765,3.08
"27",-15.163056,-39.346111,"Bahia coastal forests",94.844691509468,0.035,19.7416667938232,146.688171386719,1613,13.8599834442139,156,0.04
"28",-24.103611,-52.315833,"Araucaria moist forests",20.3250877140607,0.085,19.1041660308838,272.283782958984,1531,27.4609508514404,608,0.72
"29",-24.060357,-47.995616,"Alto Parana Atlantic forest",59.1127164893014,0.033,17.7541675567627,284.472869873047,1365,50.795539855957,831,0.99
"31",-24.017473,-47.810556,"Serra do Mar coastal forests",97.0583705563611,0.033,18.220832824707,273.316802978516,1504,46.2062721252441,646,1.31
"32",-22.545278,-43.384722,"Serra do Mar coastal forests",92.5881170112537,0.043,18.7625007629395,221.4736328125,1694,57.4872779846191,687,10.31
