Species;GapeSize;Gape_Sivault;Gape_AvianFrug;Gape_Bovo;Gape_ATLANTIC;Gape_Pigot;Gape_MammalModel;Reference
Amazona.aestiva;19.2;NA;19.2;NA;NA;NA;NA;McFadden et al., 2022
Amazona.amazonica;20;NA;20;NA;NA;NA;NA;McFadden et al., 2022
Amazona.farinosa;23.8;NA;23.8;NA;NA;NA;NA;McFadden et al., 2022
Amazona.rhodocorytha;22;NA;22;NA;NA;NA;NA;McFadden et al., 2022
Antilophia.galeata;10.8;NA;10.8;10.83;9.54;NA;NA;McFadden et al., 2022
Aramides.cajanea;13.637;NA;NA;NA;13.637;NA;NA;Bello et al., 2017
Aramides.saracura;13.637;NA;NA;NA;NA;NA;NA;Genus average
Aratinga.aurea;14.475;NA;NA;NA;NA;NA;NA;Genus average
Aratinga.leucophthalma;14.475;NA;NA;NA;NA;NA;NA;Genus average
Aratinga.solstitialis;15.1;NA;15.1;NA;NA;NA;NA;McFadden et al., 2022
Arremon.flavirostris;8.9;NA;NA;8.9;6.1;NA;NA;Bovo et al., 2018
Attila.phoenicurus;12.41;NA;NA;12.41;11.77;NA;NA;Bovo et al., 2018
Attila.rufus;14.55;NA;NA;14.55;12.06;NA;NA;Bovo et al., 2018
Baryphthengus.ruficapillus;22.5;NA;NA;22.5;17.2;NA;NA;Bovo et al., 2018
Basileuterus.culicivorus;6.48;NA;NA;6.48;6.299;NA;NA;Bovo et al., 2018
Brotogeris.chiriri;10.2;NA;10.2;NA;NA;NA;NA;McFadden et al., 2022
Brotogeris.tirica;9.72;NA;NA;NA;NA;NA;NA;Genus average
Cacicus.chrysopterus;7.9;NA;7.9;7.9;7.7;NA;NA;McFadden et al., 2022
Cacicus.haemorrhous;11.66;NA;NA;11.66;12.43866667;NA;NA;Bovo et al., 2018
Campephilus.melanoleucos;17.82;NA;NA;17.82;NA;NA;NA;Bovo et al., 2018
Camptostoma.obsoletum;5.022222222;NA;NA;NA;5.022222222;NA;NA;Bello et al., 2017
Campylorhynchus.turdinus;10.8;NA;NA;NA;NA;NA;NA;Rodrigues et al., 2019 (beak width)
Capsiempis.flaveola;6.91;NA;NA;6.91;NA;NA;NA;Bovo et al., 2018
Cariama.cristata;32.3;NA;NA;NA;NA;NA;NA;Rodrigues et al., 2019 (beak depth)
Carpornis.cucullata;12.8;NA;12.8;12.75;14.98;NA;NA;McFadden et al., 2022
Carpornis.melanocephala;14.5;NA;14.5;14.53;16.9;NA;NA;McFadden et al., 2022
Caryothraustes.canadensis;12.1;NA;12.1;NA;NA;NA;NA;McFadden et al., 2022
Celeus.flavescens;14.3;NA;NA;14.3;13.17142857;NA;NA;Bovo et al., 2018
Chamaeza.campanisona;12.37;NA;NA;12.37;NA;NA;NA;Bovo et al., 2018
Chiroxiphia.caudata;9.8;NA;9.8;9.3;9.496153846;9.3;NA;McFadden et al., 2022
Chlorophonia.cyanea;6.4;NA;6.4;6.65;NA;6.65;NA;McFadden et al., 2022
Cichlopsis.leucogenys;11.423;NA;NA;NA;NA;NA;NA;Family average (Turdidae) McFadden et al., 2022
Cissopis.leverianus;12.6;NA;12.6;12.55;7.995333333;NA;NA;McFadden et al., 2022
Claravis.godefrida;7.1;NA;NA;NA;NA;NA;NA;Genus average
Colaptes.melanochloros;12.92;NA;NA;12.92;13.3;NA;NA;Bovo et al., 2018
Conirostrum.speciosum;6;NA;NA;6;2.8;6;NA;Bovo et al., 2018
Crax.fasciolata;23.3;NA;23.3;23.3;NA;NA;NA;McFadden et al., 2022
Crotophaga.ani;19.6;NA;NA;NA;NA;NA;NA;Genus average
Crypturellus.undulatus;15.8;NA;15.8;NA;NA;NA;NA;McFadden et al., 2022
Cyanerpes.cyaneus;7.35;NA;NA;7.35;7.45;NA;NA;Bovo et al., 2018
Cyanocorax.chrysops;17.21;NA;NA;17.21;17.49105263;NA;NA;Bovo et al., 2018
Cyanocorax.cristatellus;17.77272727;NA;NA;NA;17.77272727;20.875;NA;Bello et al., 2017
Dacnis.cayana;7.92;NA;NA;7.92;5.252413793;7.9175;NA;Bovo et al., 2018
Dryocopus.lineatus;16.49;NA;NA;16.49;NA;NA;NA;Bovo et al., 2018
Dysithamnus.mentalis;7.71;NA;NA;7.71;NA;NA;NA;Bovo et al., 2018
Elaenia.albiceps;6.6;NA;6.6;NA;8.31;NA;NA;McFadden et al., 2022
Elaenia.cristata;10.3;NA;10.3;NA;10.7;NA;NA;McFadden et al., 2022
Elaenia.flavogaster;10.3;NA;10.3;NA;8.35;9.475;NA;McFadden et al., 2022
Elaenia.mesoleuca;8.7;NA;8.7;8.85;7.2;NA;NA;McFadden et al., 2022
Elaenia.obscura;7.4;NA;7.4;NA;10.57777778;9.225;NA;McFadden et al., 2022
Elaenia.parvirostris;8.66;NA;NA;8.66;6.675;NA;NA;Bovo et al., 2018
Emberizoides.herbicola;6.924;NA;NA;NA;NA;NA;NA;Genus average (Sylvia)
Empidonomus.varius;10.01;NA;NA;10.01;9.911111111;11.9;NA;Bovo et al., 2018
Euphonia.chlorotica;6.3;NA;6.3;6;6.146666667;NA;NA;McFadden et al., 2022
Euphonia.pectoralis;7.4;NA;7.4;7.08;7.69;NA;NA;McFadden et al., 2022
Euphonia.violacea;7.6;NA;7.6;8.26;6.923571429;NA;NA;McFadden et al., 2022
Forpus.xanthopterygius;8.8;NA;8.8;NA;NA;NA;NA;McFadden et al., 2022
Geotrygon.montana;9.34;NA;NA;9.34;NA;NA;NA;Bovo et al., 2018
Geotrygon.violacea;7.47;NA;NA;7.47;NA;NA;NA;Bovo et al., 2018
Gnorimopsar.chopi;16.438;NA;NA;NA;NA;NA;NA;Family average (Icteridae) McFadden et al., 2022
Habia.rubica;11.49;NA;NA;11.49;10.0125;12.1;NA;Bovo et al., 2018
Hemithraupis.flavicollis;7.02;NA;NA;7.02;7.8;NA;NA;Bovo et al., 2018
Hemithraupis.guira;7.21;NA;NA;7.21;5.847058824;NA;NA;Bovo et al., 2018
Hemithraupis.ruficapilla;6.1;NA;NA;6.1;4.000869565;NA;NA;Bovo et al., 2018
Herpsilochmus.rufimarginatus;7.8;NA;NA;7.8;NA;NA;NA;Bovo et al., 2018
Hylophilus.amaurocephalus;3.06;NA;NA;NA;3.06;NA;NA;Bello et al., 2017
Hylophilus.poicilotis;6.23;NA;NA;6.23;NA;NA;NA;Bovo et al., 2018
Ilicura.militaris;7.7;NA;7.7;7.73;8.93;NA;NA;McFadden et al., 2022
Knipolegus.lophotes;4.617;NA;NA;NA;NA;NA;NA;Genus average
Legatus.leucophaius;9.5;NA;9.5;9.4;10.42;NA;NA;McFadden et al., 2022
Leptopogon.amaurocephalus;8.41;NA;NA;8.41;8.825;NA;NA;Bovo et al., 2018
Leptotila.rufaxilla;8.7;NA;NA;8.7;8.053333333;NA;NA;Bovo et al., 2018
Leptotila.verreauxi;8.48;NA;NA;8.48;8.757058824;NA;NA;Bovo et al., 2018
Lipaugus.lanioides;17.1;NA;17.1;17.1;18.652;NA;NA;McFadden et al., 2022
Lipaugus.vociferans;18.2;NA;18.2;NA;17.686;NA;NA;McFadden et al., 2022
Manacus.manacus;9.9;NA;9.9;10.25;8.188461538;10.245;NA;McFadden et al., 2022
Megarynchus.pitangua;17.34;NA;NA;17.34;17.81;NA;NA;Bovo et al., 2018
Melanerpes.candidus;13.8;NA;13.8;NA;NA;NA;NA;McFadden et al., 2022
Melanerpes.flavifrons;9.23;NA;NA;9.23;10.664;NA;NA;Bovo et al., 2018
Milvago.chimachima;12.2;NA;NA;NA;NA;NA;NA;Velasquez-Trujillo et al., 2021 (bill width)
Mionectes.rufiventris;6.8;NA;6.8;6.9;7.923809524;NA;NA;McFadden et al., 2022
Molothrus.oryzivorus;10.275;NA;NA;NA;NA;NA;NA;Genus average
Myiarchus.ferox;10.3;NA;10.3;11.02;10.435;11.7;NA;McFadden et al., 2022
Myiarchus.swainsoni;12.45;NA;NA;12.45;8.77;NA;NA;Bovo et al., 2018
Myiarchus.tyrannulus;8.142857143;NA;NA;NA;8.142857143;NA;NA;Bello et al., 2017
Myiodynastes.maculatus;15.9;NA;NA;15.9;14.61483871;15.775;NA;Bovo et al., 2018
Myiopagis.caniceps;6.71;NA;NA;6.71;9.5;NA;NA;Bovo et al., 2018
Myiopagis.viridicata;7.21;NA;NA;7.21;NA;NA;NA;Bovo et al., 2018
Myiophobus.fasciatus;7;NA;NA;NA;7;8.2;NA;Bello et al., 2017
Myiozetetes.similis;11;NA;NA;11;9.517241379;NA;NA;Bovo et al., 2018
Odontophorus.capueira;12.25;NA;NA;12.25;NA;NA;NA;Bovo et al., 2018
Orthogonys.chloricterus;11.13;NA;NA;11.13;6.822;NA;NA;Bovo et al., 2018
Oxyruncus.cristatus;10.3;NA;10.3;11.78;10.17;NA;NA;McFadden et al., 2022
Pachyramphus.castaneus;9.65;NA;NA;9.65;NA;NA;NA;Bovo et al., 2018
Pachyramphus.marginatus;11;NA;11;11.48;NA;NA;NA;McFadden et al., 2022
Pachyramphus.polychopterus;10.9;NA;10.9;10.69;11.2;NA;NA;McFadden et al., 2022
Parula.pitiayumi;5.14;NA;NA;NA;NA;5.14;NA;Pigot et al., 2016
Patagioenas.cayennensis;9.5;NA;9.5;8.93;NA;NA;NA;McFadden et al., 2022
Patagioenas.maculosa;9.346;NA;NA;NA;NA;NA;NA;Genus average
Patagioenas.picazuro;11.502;NA;NA;NA;11.502;NA;NA;Bello et al., 2017
Patagioenas.plumbea;7.1;NA;7.1;6.8;9.3;6.8;NA;McFadden et al., 2022
