Species;Seed.Length;References
Abarema.langsdorffii;6.5;Abarema no estado do Rio de Janeiro, Brasil (Iganci & Morim)
Acnistus.arborescens;1.545;ReSeeD
Actinostemon.concepcionis;6.1;Genus average
Actinostemon.concolor;6.09;ReSeeD
Aegiphila.integrifolia;6.3;ReSeeD
Agonandra.brasiliensis;11.6;Bello
Aiouea.hirsuta;17;Genus average
Aiouea.saligna;16;Bello
Albizia.niopoides;6.615;ReSeeD
Alchornea.glandulosa;4.45;ReSeeD
Alchornea.sidifolia;5;ReSeeD
Alchornea.triplinervia;5.325;ReSeeD
Alibertia.myrciifolia;0.755;Genus average
Allophylus.edulis;6.245;ReSeeD
Allophylus.leucophloeus;8.061;Genus average
Allophylus.melanophloeus;8.061;Genus average
Allophylus.petiolulatus;8;Bello
Allophylus.racemosus;8.8;ReSeeD
Allophylus.semidentatus;8.061;Genus average
Allophylus.sericeus;9.2;Bello
Aloysia.virgata;33.3;ReSeeD
Alseis.floribunda;3.125;ReSeeD
Amaioua.guianensis;4.6;Bello
Amaioua.intermedia;4.37;ReSeeD
Anadenanthera.colubrina;13.194;ReSeeD
Andira.anthelmia;35;Bello
Andira.fraxinifolia;34.68;ReSeeD
Aniba.firmula;23;Bello
Aniba.viridis;22.5;Bello
Annona.cacans;12.2;ReSeeD
Annona.dolabripetala;9;Bello
Annona.emarginata;8;Bello
Annona.glabra;20;Bello
Annona.montana;14.5;Flora e Funga do Brasil
Annona.sylvatica;13.4;ReSeeD
Aparisthmium.cordatum;5.1;Bello
Apeiba.tibourbou;3.488;ReSeeD
Araucaria.angustifolia;63.75;ReSeeD
Ardisia.guianensis;4.75;Genus average (World Flora Online data)
Artocarpus.heterophyllus;21;ReSeeD
Astrocaryum.aculeatissimum;44.8;Bello
Astronium.graveolens;13.45;ReSeeD
Athenaea.fasciculata;3.5;Estudios sobre Solanaceae XXX. Revision de Aureliana (Hunziker & Barboza)
Attalea.dubia;49.1;Bello
Averrhoa.carambola;9.25;Wikipedia
Bactris.setosa;14;Bello
Banara.parviflora;1.5;Flora e Funga do Brasil
Banara.tomentosa;1.8;Bello
Bastardiopsis.densiflora;3;Bello
Bathysa.australis;1;ReSeeD
Brosimum.glaziovii;20;Bello
Brosimum.guianense;14.4;Bello
Bunchosia.maritima;15.5;Genus average (own measurements Colecionando Frutas)
Byrsonima.ligustrifolia;9.588;Genus average
Cabralea.canjerana;7.98;ReSeeD
Calophyllum.brasiliense;15.082;ReSeeD
Calyptranthes.clusiifolia;5.2;ReSeeD
Calyptranthes.concinna;4.7;ReSeeD
Calyptranthes.lucida;3.9;Bello
Campomanesia.eugenioides;3;Bello
Campomanesia.guaviroba;7.333;ReSeeD
Campomanesia.guazumifolia;9;ReSeeD
Campomanesia.neriiflora;7.7;Bello
Campomanesia.phaea;7;Bello
Campomanesia.schlechtendaliana;8.7;Bello
Campomanesia.xanthocarpa;6.438;ReSeeD
Casearia.decandra;5.095;ReSeeD
Casearia.gossypiosperma;3.525;ReSeeD
Casearia.grandiflora;2.5;The World Flora Online
Casearia.lasiophylla;5.88;ReSeeD
Casearia.obliqua;2.75;ReSeeD
Casearia.sylvestris;2.29;ReSeeD
Cassia.ferruginea;6.4;ReSeeD
Cassia.fistula;8.75;The World Flora Online
Cecropia.glaziovii;2.425;ReSeeD
Cecropia.hololeuca;2.9;Bello
Cecropia.pachystachya;1.581;ReSeeD
Cedrela.fissilis;10.191;ReSeeD
Cedrela.odorata;12.485;ReSeeD
Celtis.brasiliensis;8;ReSeeD
Celtis.ehrenbergiana;9;ReSeeD
Celtis.fluminensis;7.656;Genus average
Celtis.iguanaea;6.625;ReSeeD
Cestrum.axillare;4.75;Genus average
Cestrum.bracteatum;4.75;Genus average
Cestrum.intermedium;4.5;ReSeeD
Cestrum.mariquitense;4.75;Genus average
Cestrum.schlechtendalii;5;The World Flora Online
Chionanthus.filiformis;8;Colecionando Frutas
Chomelia.bella;10;Genus average
Chomelia.brasiliana;10;Genus average
Chomelia.pedunculosa;10;Genus average
Chomelia.pohliana;10;ReSeeD
Chrysophyllum.flexuosum;19;ReSeeD
Chrysophyllum.gonocarpum;16.602;ReSeeD
Chrysophyllum.inornatum;22;Bello
Chrysophyllum.marginatum;6.313;ReSeeD
Chrysophyllum.viride;21.8;Bello
Cinnamomum.glaziovii;12.9;Bello
Cinnamomum.pseudoglaziovii;10.92;Genus average
Citharexylum.myrianthum;10.667;ReSeeD
Citronella.gongonha;12;Bello
Citronella.paniculata;15.71;ReSeeD
Clethra.scabra;1.5;ReSeeD
Coccoloba.cordata;8.2;Genus average
Coccoloba.fastigiata;8.2;Genus average
Coccoloba.glaziovii;8.2;Genus average
Coccoloba.striata;8.2;Genus average
Coccoloba.warmingii;7.78;ReSeeD
Colubrina.glandulosa;3.933;ReSeeD
Connarus.regnellii;13;Bello
Copaifera.langsdorffii;11.161;ReSeeD
Copaifera.trapezifolia;18.3;Bello
Cordia.africana;6;PlantUse
Cordia.americana;5.576;ReSeeD
Cordia.ecalyculata;9;ReSeeD
Cordia.magnoliifolia;9.3;Bello
Cordia.myxa;13.45;Genetic Variability Studies in Lasora (Cordia myxa Roxb.) (Samadia, 2005)
Cordia.sellowiana;9.167;ReSeeD
Cordia.silvestris;10;Bello
Cordia.superba;13.5;ReSeeD
Cordia.trichoclada;15;ReSeeD
Cordia.trichotoma;9.5;ReSeeD
Cordiera.concolor;4.467;Genus average
Cordiera.macrophylla;3;Body mass determines the role of mammal species in a frugivore-large fruit interaction network in a Neotropical savanna (Goebel et al., 2023)
Cordyline.spectabilis;4;Bello
Coussapoa.microcarpa;2.8;Bello
Coussarea.contracta;2.176;ReSeeD
Croton.floribundus;5.5;ReSeeD
Croton.piptocalyx;9;Bello
Croton.urucurana;3.4;ReSeeD
Cryptocarya.aschersoniana;26;Bello
Cryptocarya.botelhensis;21;Bello
Cryptocarya.mandioccana;21.9;Bello
Cryptocarya.micrantha;25.201;Genus average
Cryptocarya.moschata;11.496;ReSeeD
Cryptocarya.saligna;45.61;ReSeeD
Cupania.furfuracea;11;Flora e Funga do Brasil
Cupania.ludowigii;14.5;Flora e Funga do Brasil
Cupania.oblongifolia;15.2;ReSeeD
Cupania.tenuivalvis;9;ReSeeD
Cupania.vernalis;10.73;ReSeeD
Cupania.zanthoxyloides;10;Sapindaceae (Somner, 2009) (In: Flora Fanerogamica do Estado de Sao Paulo)
Daphnopsis.racemosa;9.1;Genus average
Daphnopsis.schwackeana;9.1;Genus average
Dasyphyllum.brasiliense;10;Genus average
Dendropanax.australis;4.5;Genus average
Dendropanax.cuneatus;4.8;ReSeeD
Dendropanax.monogynus;4.5;Genus average
Diatenopteryx.sorbifolia;8.871;ReSeeD
Diospyros.inconstans;15.675;ReSeeD
Diploon.cuspidatum;31;Bello
Dipteryx.alata;25.14;ReSeeD
Drimys.brasiliensis;3.5;Bello
