"","Latitude","Longitude","BSR","5kmForestCover","PropAge","MeanTemperature","TemperatureSeasonality","AnnualPrecipitation","PrecipitationSeasonality","Elevation","Slope"
"2",-20.2707,-43.5443,"Campos Rupestres montane savanna",64.6026252999372,0.146,17.4500007629395,201.370300292969,1531,83.6323547363281,1222,1.8
"3",-26.394,-49.3572,"Araucaria moist forests",81.3176704052127,0.054,17.0541667938232,309.717315673828,1539,27.1066703796387,658,1.23
"4",-22.5915,-43.1609,"Serra do Mar coastal forests",48.386870757543,0.037,22.1083335876465,228.342178344727,1728,55.8694229125977,98,4.39
"8",-27.0273,-49.4531,"Serra do Mar coastal forests",85.1199944460352,0.053,18.3916664123535,327.156036376953,1632,20.4498023986816,237,0.21
"9",-26.3343,-49.5658,"Araucaria moist forests",45.4751334485743,0.101,16.0750007629395,309.790985107422,1508,25.1492652893066,924,0.7
"13",-20.48,-42.51,"Bahia interior forests",20.8949228048688,0.063,18.6666660308838,234.019561767578,1352,73.399040222168,907,0.15
"14",-15.929852,-39.568694,"Bahia interior forests",29.3758813238954,0.02,23.783332824707,160.88298034668,1092,27.8936309814453,79,0.59
"15",-15.969337,-39.904267,"Bahia interior forests",11.9885645194242,0.003,24.1833343505859,170.644943237305,843,44.1162490844727,166,1.71
"16",-15.921144,-39.74997,"Bahia interior forests",9.71245136993094,0.011,23.9541664123535,166.562286376953,941,35.4017486572266,142,1.34
"17",-15.962863,-39.928718,"Bahia interior forests",11.0793050863245,0.004,24.3624992370605,171.783767700195,841,45.9920310974121,220,1.92
"18",-15.942406,-39.854369,"Bahia interior forests",7.9718477719083,0.013,24.091667175293,169.837249755859,873,41.0343894958496,137,0.79
"19",-15.973266,-39.875682,"Bahia interior forests",10.2036788488725,0.006,24.1791667938232,170.979248046875,863,42.2963829040527,109,0.69
"20",-15.941757,-39.900796,"Bahia interior forests",13.4106567933226,0.004,24.1791667938232,170.779739379883,855,43.0266494750977,220,1.42
"21",-15.938357,-39.723946,"Bahia interior forests",9.1356679834035,0.014,24.0375003814697,166.147872924805,969,34.685375213623,99,0.89
"22",-15.916891,-39.875869,"Bahia interior forests",9.79277000817519,0.002,24.033332824707,169.88410949707,867,41.4209785461426,188,0.98
"23",-15.915345,-39.791815,"Bahia interior forests",6.68317134591139,0.02,23.8874988555908,168.295257568359,922,36.7862167358398,187,1.39
"24",-15.942926,-39.713429,"Bahia interior forests",8.73577989108475,0.012,24.2333335876465,164.859909057617,1005,32.6302223205566,120,1.54
"26",-15.93749,-39.698695,"Bahia interior forests",13.4139633603147,0.034,23.8250007629395,164.489562988281,986,33.0679550170898,140,1.92
"27",-15.928805,-39.891546,"Bahia interior forests",13.0875349213807,0.01,24.1666660308838,172.288513183594,864,42.3511085510254,213,1.37
"28",-15.91846,-39.644647,"Bahia interior forests",42.77789172688,0.031,22.1708335876465,160.616134643555,1029,27.8837146759033,106,1.02
"29",-15.951152,-39.743378,"Bahia interior forests",10.9484731938746,0.009,24.2333335876465,166.46501159668,976,34.0172958374023,99,0.58
