"","Latitude","Longitude","BSR","5kmForestCover","PropAge","MeanTemperature","TemperatureSeasonality","AnnualPrecipitation","PrecipitationSeasonality","Elevation","Slope"
"sm06",-24.23333333,-48.06666667,"Serra do Mar coastal forests",94.1162220101167,0.021,22,287.433807373047,1410,50.1091690063477,143,1.9
"sm07",-24.29416667,-48.32805556,"Alto Parana Atlantic forest",99.9079245656483,0.024,17.4624996185303,299.341125488281,1459,44.9778137207031,881,1.42
"sm10",-22.52403056,-52.28339444,"Alto Parana Atlantic forest",77.6877968057931,0.01,21.779167175293,251.137939453125,1164,43.4406776428223,537,1.77
"sm101",-24.575878,-49.912402,"Araucaria moist forests",46.2499199681719,0.108,16.1875,280.730590820312,1534,30.2758903503418,1218,0.49
"sm102",-24.575738,-49.912997,"Araucaria moist forests",45.9379994859931,0.108,16.1875,280.730590820312,1534,30.2758903503418,1218,0.49
"sm108",-22.44508333,-44.07841667,"Alto Parana Atlantic forest",45.5664608884807,0.223,20.654167175293,240.789031982422,1371,74.1798629760742,339,2.25
"sm11",-22.39529444,-52.36586389,"Alto Parana Atlantic forest",59.5365951190228,0.01,21.9458332061768,250.19499206543,1157,45.1253433227539,387,0.5
"sm110",-20.0323,-48.23325,"Cerrado",8.36351115568962,0.019,23.091667175293,181.368957519531,1460,79.753044128418,544,0.09
"sm111",-27.72243333,-48.52846667,"Serra do Mar coastal forests",32.1176346460183,0.024,19.0625,306.417144775391,1596,26.2730503082275,134,2.03
"sm112",-22.01691389,-42.65711389,"Alto Parana Atlantic forest",26.7651573463912,0.02,21.091667175293,239.182632446289,1328,74.5153045654297,507,1.28
"sm117",-25.261011,-48.680328,"Serra do Mar coastal forests",69.0446671754607,0.053,21.3291664123535,304.178894042969,1819,45.029052734375,170,1.33
"sm118",-25.24959167,-48.68356111,"Serra do Mar coastal forests",74.1620498042909,0.053,21.3166675567627,304.252685546875,1804,45.2484931945801,156,1.86
"sm119",-22.93195,-43.444924,"Serra do Mar coastal forests",71.298180119181,0.085,22.0208339691162,210.868942260742,1391,50.254581451416,224,4.29
"sm12",-22.61683333,-52.34717778,"Alto Parana Atlantic forest",54.9309345421644,0.01,22.1166667938232,257.905334472656,1167,41.1590690612793,271,0.24
"sm120",-22.924341,-43.438242,"Serra do Mar coastal forests",59.7729009670702,0.085,22.7000007629395,209.664245605469,1365,47.8244743347168,201,4.29
